Neighbourhood,Neighbourhood Id,Combined Indicators,   Chinese,   South Asian,   Black,   Filipino,   Latin American,   Southeast Asian,   Arab,   West Asian,   Korean,   Japanese,  White,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts
Broadview North,57,N/A,490,370,490,520,180,40,145,70,90,90,8820,20,106,15,24,9,9,3
Old East York,58,N/A,680,360,235,600,60,85,0,25,70,100,6785,22,55,3,31,11,8,4
Danforth-East York,59,N/A,910,630,255,195,35,85,0,35,50,60,6960,14,82,4,41,5,8,2
Woodbine-Lumsden,60,N/A,835,585,630,200,175,115,15,35,70,50,8650,4,60,6,12,10,7,2
Taylor-Massey,61,N/A,830,5670,1235,695,305,395,70,280,70,35,5405,28,187,19,51,28,22,7
East End-Danforth,62,N/A,1335,1260,1175,835,145,175,230,165,95,75,14610,46,252,15,102,39,10,4
The Beaches,63,N/A,455,445,350,175,130,80,0,20,120,145,18710,12,114,14,119,11,15,7
Woodbine Corridor,64,N/A,685,430,355,295,45,95,135,45,0,45,5445,23,139,11,47,13,4,1
Greenwood-Coxwell,65,N/A,2310,1125,985,405,110,245,25,135,60,70,8160,30,183,18,96,42,21,2
Danforth,66,N/A,1680,735,500,395,190,140,0,215,35,150,12260,34,121,12,49,29,13,3
Playter Estates-Danforth,67,N/A,365,210,120,85,115,55,0,20,100,120,6190,17,62,9,33,18,3,4
North Riverdale,68,N/A,1550,195,245,55,130,240,0,0,50,150,9100,27,227,19,79,40,10,0
Blake-Jones,69,N/A,980,465,630,50,100,85,105,210,0,0,4880,25,108,12,46,16,13,1
South Riverdale,70,N/A,6635,940,1090,615,225,550,50,45,30,150,13380,89,276,21,182,47,35,9
Cabbagetown-South St.James Town,71,N/A,530,510,430,630,245,150,40,110,100,65,8280,39,84,10,76,32,12,0
Regent Park,72,N/A,1245,2695,1750,200,195,520,45,80,55,0,2310,55,116,13,36,18,19,1
Moss Park,73,N/A,810,860,1875,370,390,325,110,185,290,65,8670,302,371,36,116,64,27,5
North St.James Town,74,N/A,1030,3390,1890,2935,380,305,270,220,395,70,6110,38,123,9,97,28,15,16
Church-Yonge Corridor,75,N/A,2930,1575,1555,780,730,485,595,315,590,250,17145,99,535,60,143,124,31,13
Bay Street Corridor,76,N/A,4005,1690,630,225,365,480,1105,370,1010,265,8635,108,554,47,129,124,26,29
Waterfront Communities-The Island,77,N/A,5075,3730,2205,1085,905,690,900,870,735,325,25705,148,892,41,139,94,61,17
Kensington-Chinatown,78,N/A,7030,645,995,375,315,605,195,275,280,100,6830,197,369,25,166,68,29,14
University,79,N/A,910,285,150,125,140,110,45,0,225,105,4325,54,131,21,53,30,6,1
Palmerston-Little Italy,80,N/A,1225,360,395,95,265,75,20,120,195,120,10550,25,123,18,57,18,16,4
Trinity-Bellwoods,81,N/A,3580,275,345,105,195,210,45,0,25,115,11450,62,165,19,67,23,22,2
Niagara,82,N/A,1475,1000,1150,495,460,350,245,155,280,100,14400,64,241,25,46,16,17,8
Dufferin Grove,83,N/A,860,790,400,115,620,210,210,20,95,60,7765,41,146,19,75,42,15,10
Little Portugal,84,N/A,1040,265,430,95,295,325,40,25,70,50,8795,37,137,12,77,16,10,7
South Parkdale,85,N/A,645,1955,1750,1440,520,965,275,215,130,160,10365,140,333,16,64,42,29,9
Roncesvalles,86,N/A,680,1085,600,150,255,455,30,30,40,160,11010,74,192,13,75,18,10,4
High Park-Swansea,87,N/A,735,610,515,320,355,65,120,60,180,175,17860,19,103,6,59,17,26,2
High Park North,88,N/A,835,820,565,220,575,230,125,365,595,95,16190,29,125,8,106,26,14,1
Runnymede-Bloor West Village,89,N/A,525,270,195,120,110,65,25,70,55,90,7830,8,69,3,42,17,21,5
Junction Area,90,N/A,750,460,600,625,525,345,35,35,95,65,9620,40,143,14,57,15,32,3
Weston-Pellam Park,91,N/A,335,1150,5440,505,1350,730,155,95,55,45,7525,58,125,26,44,17,23,7
Corso Italia-Davenport,92,N/A,350,305,855,525,1390,190,50,50,0,0,9680,21,127,15,50,31,18,2
Dovercourt-Wallace Emerson-Juncti,93,N/A,2825,1850,2070,955,1425,930,310,125,325,280,22540,127,275,55,162,53,62,8
Wychwood,94,N/A,750,265,755,445,465,260,40,50,210,135,9150,15,91,13,58,23,15,5
Annex,95,N/A,1660,820,785,325,405,170,240,365,465,335,21410,33,272,46,155,38,39,20
Casa Loma,96,N/A,360,320,225,255,190,20,15,45,115,70,8615,3,33,2,41,4,4,4
Yonge-St.Clair,97,N/A,410,310,145,125,110,25,100,200,90,85,9850,0,27,5,62,3,8,6
Rosedale-Moore Park,98,N/A,835,585,265,290,210,30,130,140,240,100,17205,9,85,12,82,20,20,9
Mount Pleasant East,99,N/A,720,365,280,205,135,55,135,110,165,145,13480,9,51,5,52,6,7,5
Yonge-Eglinton,100,N/A,515,195,165,250,195,145,40,75,135,70,8620,43,69,9,60,33,14,1
Forest Hill South,101,N/A,390,245,75,285,105,45,0,10,45,70,9260,0,19,1,58,4,3,7
Forest Hill North,102,N/A,275,150,355,1280,395,125,130,60,90,60,9255,4,48,14,57,22,6,4
Lawrence Park South,103,N/A,580,210,120,260,115,110,20,80,170,145,13160,8,30,5,109,9,26,4
Mount Pleasant West,104,N/A,1410,1350,1270,1005,890,105,390,835,770,375,19125,24,164,19,93,35,18,2
